caseid,complete_stat,is_volenteer,dh1gage,sex,marrige_stat,living_stat,province,vol_times,vol_fre,vol_time,is_work,is_workalone,gavin_times,gavin_sum,emp_stat,degree,is_citizens,is_school,is_immigration,happiness
11,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Ontario,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Unemployed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
12,Complete,Neither volunteer nor giver,25-34 years,Female,"Single, never married",Single/non-single child(ren) only,New Brunswick,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
13,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse and single/non-single child(ren),Alberta,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
14,Complete,Volunteer and giver,15-24 years,Female,"Single, never married",Living with one or two parents,Ontario,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by naturalization and other citizenship(s),Yes,Yes,"NA"
15,Complete,Volunteer and giver,25-34 years,Male,"Single, never married",Alone,Ontario,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
16,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",Daily or almost daily,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
17,Complete,"Volunteer, not giver",15-24 years,Male,"Single, never married",Living with one or two parents,Ontario,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Unemployed,Less than High School,Canadian citizen by birth only,Yes,Valid skip,Very satisfied
18,Complete,Not a volunteer but a giver,65 years and over,Female,Divorced,Alone,Nova Scotia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
19,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Quebec,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
20,Complete,Volunteer and giver,45-54 years,Female,Married,Spouse only,Manitoba,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
21,Partial,Not a volunteer but a giver,45-54 years,Male,Married,Spouse only,British Columbia,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
22,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
23,Complete,Volunteer and giver,15-24 years,Male,"Single, never married",Living with one or two parents,Prince Edward Island,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
24,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,Alberta,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
25,Complete,Not a volunteer but a giver,45-54 years,Female,Living common-law,Spouse only,Nova Scotia,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
26,Complete,Not a volunteer but a giver,55-64 years,Female,Married,Spouse only,Nova Scotia,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
27,Complete,Not a volunteer but a giver,15-24 years,Female,Living common-law,Spouse only,Alberta,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
28,Complete,Not a volunteer but a giver,35-44 years,Male,Married,Spouse only,Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
29,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Quebec,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
30,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse only,British Columbia,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization only,No,Yes,Very satisfied
31,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Newfoundland and Labrador,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
32,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Newfoundland and Labrador,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
33,Complete,Not a volunteer but a giver,45-54 years,Male,Married,Spouse only,Nova Scotia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth and other citizenship(s),No,Valid skip,Very satisfied
34,Complete,Not a volunteer but a giver,35-44 years,Male,"Single, never married",Alone,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
35,Complete,Not a volunteer but a giver,55-64 years,Male,Living common-law,Spouse only,Alberta,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
36,Partial,Volunteer and giver,35-44 years,Female,"Single, never married",Single/non-single child(ren) only,Quebec,"NA",Daily or almost daily,"NA",Not stated,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
37,Complete,Not a volunteer but a giver,65 years and over,Female,Divorced,Alone,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,Yes,Valid skip,Very satisfied
38,Complete,Volunteer and giver,65 years and over,Male,Divorced,Alone,Nova Scotia,"NA",At least once a week,"NA",Yes,No,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
39,Complete,Volunteer and giver,45-54 years,Female,Married,Spouse only,British Columbia,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
40,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,Ontario,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
41,Complete,Neither volunteer nor giver,45-54 years,Female,Divorced,Alone,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
42,Complete,Neither volunteer nor giver,65 years and over,Female,Widowed,Alone,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
43,Complete,Not a volunteer but a giver,45-54 years,Female,Married,Spouse only,Prince Edward Island,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
44,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse only,Saskatchewan,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Undetermined,No,Valid skip,Very satisfied
45,Complete,Not a volunteer but a giver,55-64 years,Female,Married,Spouse only,Manitoba,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Undetermined,No,Yes,"NA"
46,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least once a month,"NA",Yes,No,"NA","NA",Unemployed,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
47,Complete,Not a volunteer but a giver,55-64 years,Female,Married,Spouse and single/non-single child(ren),Saskatchewan,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
48,Complete,Neither volunteer nor giver,15-24 years,Male,"Single, never married",Living with one or two parents,New Brunswick,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,Yes,Valid skip,"NA"
49,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,British Columbia,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
50,Complete,"Volunteer, not giver",55-64 years,Female,"Single, never married",Alone,Quebec,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
51,Complete,Not a volunteer but a giver,15-24 years,Male,"Single, never married",Living with one or two parents,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Unemployed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
52,Complete,Neither volunteer nor giver,55-64 years,Female,Living common-law,Spouse only,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
53,Complete,Volunteer and giver,25-34 years,Female,"Single, never married",Alone,Quebec,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,Yes,Valid skip,"NA"
54,Complete,Neither volunteer nor giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
55,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
56,Complete,Neither volunteer nor giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
57,Complete,Volunteer and giver,25-34 years,Male,Married,Spouse and single/non-single child(ren),New Brunswick,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
58,Partial,Neither volunteer nor giver,35-44 years,Female,"Single, never married",Alone,Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
59,Complete,Volunteer and giver,25-34 years,Female,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,No,"NA"
60,Complete,Volunteer and giver,45-54 years,Female,Living common-law,Spouse only,British Columbia,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Other citizenship(s) non-Canadian only,No,Yes,"NA"
61,Complete,Volunteer and giver,15-24 years,Male,"Single, never married",Living with one or two parents,Nova Scotia,"NA",Daily or almost daily,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
62,Partial,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,Alberta,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
63,Complete,Volunteer and giver,55-64 years,Female,Divorced,Alone,Nova Scotia,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
64,Complete,Volunteer and giver,45-54 years,Female,"Single, never married",Alone,New Brunswick,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
65,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by naturalization only,No,Yes,"NA"
66,Complete,Not a volunteer but a giver,25-34 years,Female,"Single, never married",Alone,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
67,Complete,Volunteer and giver,45-54 years,Male,Living common-law,Spouse only,Manitoba,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
68,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Quebec,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
69,Partial,Neither volunteer nor giver,45-54 years,Female,Divorced,Single/non-single child(ren) only,Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
70,Partial,Volunteer and giver,65 years and over,Male,"Single, never married",Alone,Saskatchewan,"NA",Once or twice (in the past 12 months),"NA",Not stated,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
71,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,Ontario,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
72,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Ontario,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
73,Complete,Volunteer and giver,35-44 years,Male,"Single, never married",Alone,Nova Scotia,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,Yes,Valid skip,"NA"
74,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
75,Complete,Neither volunteer nor giver,25-34 years,Male,"Single, never married",Alone,Saskatchewan,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
76,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse only,Alberta,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
77,Complete,Volunteer and giver,15-24 years,Female,"Single, never married",Other living arrangement,British Columbia,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
78,Complete,Volunteer and giver,15-24 years,Female,Living common-law,Spouse only,Nova Scotia,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
79,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
80,Complete,Not a volunteer but a giver,45-54 years,Male,Divorced,Alone,Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
81,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse and single/non-single child(ren),British Columbia,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Not in labour force,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,Very satisfied
82,Partial,"Volunteer, not giver",45-54 years,Female,"Single, never married",Alone,Nova Scotia,"NA",At least once a month,"NA",Not stated,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
83,Complete,Volunteer and giver,65 years and over,Female,Widowed,Single/non-single child(ren) only,Newfoundland and Labrador,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
84,Complete,Neither volunteer nor giver,55-64 years,Male,Living common-law,Spouse only,Ontario,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Employed,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
85,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse and single/non-single child(ren),Alberta,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
86,Partial,Volunteer and giver,55-64 years,Female,Married,Spouse only,Saskatchewan,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,Yes,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
87,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse only,Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
88,Complete,Neither volunteer nor giver,65 years and over,Female,Widowed,Alone,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
89,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Spouse only,Alberta,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
90,Complete,Not a volunteer but a giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Nova Scotia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by naturalization and other citizenship(s),No,Valid skip,"NA"
91,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Spouse only,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
92,Complete,Not a volunteer but a giver,55-64 years,Female,Divorced,Alone,British Columbia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization only,No,Yes,Very satisfied
93,Complete,Not a volunteer but a giver,65 years and over,Male,"Single, never married",Alone,Newfoundland and Labrador,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
94,Complete,Volunteer and giver,25-34 years,Female,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",Once or twice (in the past 12 months),"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
95,Complete,Volunteer and giver,35-44 years,Male,Living common-law,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Unemployed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
96,Complete,Not a volunteer but a giver,25-34 years,Female,"Single, never married",Other living arrangement,Nova Scotia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
97,Complete,Volunteer and giver,25-34 years,Female,Married,Spouse and single/non-single child(ren),Quebec,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
98,Partial,Volunteer and giver,35-44 years,Male,Living common-law,Spouse only,Ontario,"NA",At least once a month,"NA",Yes,No,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
99,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse only,New Brunswick,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,No,"NA"
100,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse and single/non-single child(ren),British Columbia,"NA",Daily or almost daily,"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
101,Complete,Neither volunteer nor giver,45-54 years,Female,Living common-law,Spouse only,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
102,Complete,Not a volunteer but a giver,15-24 years,Male,"Single, never married",Other living arrangement,Alberta,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,Yes,Valid skip,"NA"
103,Complete,Volunteer and giver,55-64 years,Male,Married,Spouse only,Quebec,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
104,Complete,"Volunteer, not giver",15-24 years,Female,"Single, never married",Other living arrangement,Ontario,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,Yes,Valid skip,Very satisfied
105,Complete,"Volunteer, not giver",15-24 years,Male,"Single, never married",Living with one or two parents,Quebec,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,Yes,Valid skip,Very satisfied
106,Complete,Not a volunteer but a giver,25-34 years,Female,Living common-law,Spouse and single/non-single child(ren),Nova Scotia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
107,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Ontario,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
108,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Nova Scotia,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
109,Complete,Volunteer and giver,55-64 years,Male,"Single, never married",Other living arrangement,Quebec,"NA",Once or twice (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
110,Complete,Volunteer and giver,45-54 years,Male,Divorced,Alone,Ontario,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
111,Complete,Volunteer and giver,25-34 years,Male,Married,Spouse and single/non-single child(ren),Alberta,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
112,Complete,Volunteer and giver,55-64 years,Male,"Single, never married",Living with one or two parents,Saskatchewan,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
113,Complete,Neither volunteer nor giver,15-24 years,Female,Married,Spouse only,Saskatchewan,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
114,Complete,Neither volunteer nor giver,25-34 years,Female,Living common-law,Spouse and single/non-single child(ren),New Brunswick,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
115,Complete,Not a volunteer but a giver,65 years and over,Female,Separated,Alone,British Columbia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
116,Complete,Neither volunteer nor giver,55-64 years,Female,Separated,Alone,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Unemployed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
117,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,New Brunswick,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
118,Complete,Not a volunteer but a giver,65 years and over,Male,Divorced,Alone,Nova Scotia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Other citizenship(s) non-Canadian only,No,Yes,"NA"
119,Complete,Neither volunteer nor giver,45-54 years,Male,"Single, never married",Other living arrangement,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
120,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse and single/non-single child(ren),Ontario,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
121,Complete,Volunteer and giver,25-34 years,Female,Married,Spouse only,Manitoba,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth and other citizenship(s),No,Valid skip,"NA"
